GEOHASH,total_vehicles,peak_vehicles,sum_speed,record_count,lat,lon,mean_speed
sx7chk,196225.0,104.0,663356.0,8004.0,40.9817504882813,27.9656982421875,82.87806096951525
sx7chm,325156.0,124.0,553531.0,8011.0,40.9872436523438,27.9656982421875,69.09636749469479
sx7cht,297537.0,131.0,291974.0,8008.0,40.9872436523438,27.9766845703125,36.46028971028971
sx7chw,367303.0,133.0,536934.0,8010.0,40.9927368164063,27.9766845703125,67.03295880149813
sx7chx,366031.0,136.0,561411.0,8011.0,40.9982299804688,27.9766845703125,70.08001497940332
sx7ck8,347702.0,131.0,600605.0,8011.0,41.0037231445313,27.9766845703125,74.9725377605792
sx7ck9,373051.0,146.0,470737.0,8011.0,41.0092163085938,27.9766845703125,58.76132817376108
sx7ckc,119417.0,72.0,579632.0,7997.0,41.0092163085938,27.9876708984375,72.481180442666
sx7ckf,290373.0,116.0,603238.0,8008.0,41.0147094726563,27.9876708984375,75.32942057942059
sx7ckg,239033.0,103.0,557687.0,8003.0,41.0202026367188,27.9876708984375,69.68474322129201
sx7cm5,201023.0,104.0,586989.0,8002.0,41.0202026367188,27.9986572265625,73.35528617845539
sx7cmh,328690.0,125.0,589545.0,8007.0,41.0256958007813,27.9986572265625,73.62869988759836
sx7cmj,107923.0,69.0,570283.0,7990.0,41.0311889648438,27.9986572265625,71.37459324155193
sx7cmm,343997.0,130.0,652296.0,8011.0,41.0311889648438,28.0096435546875,81.42504056921733
sx7cmq,207387.0,106.0,655271.0,8002.0,41.0366821289063,28.0096435546875,81.88840289927518
sx7cmw,341296.0,128.0,675455.0,8011.0,41.0366821289063,28.0206298828125,84.31594058170016
sx7cmx,168003.0,94.0,703186.0,8002.0,41.0421752929688,28.0206298828125,87.87628092976756
sx7cmz,340947.0,129.0,633219.0,8010.0,41.0421752929688,28.0316162109375,79.05355805243445
sx7cqp,132855.0,81.0,565267.0,7999.0,41.0421752929688,28.0426025390625,70.66720840105013
sx7ctr,117446.0,63.0,616352.0,7974.0,41.0861206054688,28.0096435546875,77.2952094306496
sx7ctx,299476.0,114.0,596020.0,8004.0,41.0861206054688,28.0206298828125,74.46526736631684
sx7ctz,298335.0,130.0,689688.0,8005.0,41.0861206054688,28.0316162109375,86.15715178013741
