District,Population_2024,Pre_2000_Count,Total_Buildings,Pre_2000_Percentage
Esenyurt,988369,23801,38685,61.53
Küçükçekmece,789033,28156,40136,70.15
Pendik,749356,34590,51491,67.18
Ümraniye,727819,33727,52612,64.11
Bağcılar,713594,34618,42439,81.57
Bahçelievler,560086,19375,23276,83.24
Sultangazi,532601,22923,33947,67.53
Maltepe,524921,24685,28742,85.88
Başakşehir,520467,14434,25791,55.97
Üsküdar,512981,35353,41731,84.72
Sancaktepe,502077,16333,30293,53.92
Gaziosmanpaşa,479931,21161,29283,72.26
Kartal,475859,23697,29962,79.09
Kadıköy,462189,18427,25210,73.09
Kağıthane,444820,23690,29103,81.4
Avcılar,440934,16883,26762,63.09
Esenler,423625,18248,23661,77.12
Eyüpsultan,420706,22137,34363,64.42
Beylikdüzü,415290,6262,12753,49.1
Ataşehir,414866,18032,27583,65.37
Sultanbeyli,369193,23274,33911,68.63
Fatih,354472,39786,43560,91.34
Arnavutköy,344868,19299,31941,60.42
Sarıyer,342582,33055,49360,66.97
Çekmeköy,306739,7113,20787,34.22
Tuzla,301400,14016,28331,49.47
Büyükçekmece,280528,14925,31343,47.62
Zeytinburnu,278344,12697,16000,79.36
Bayrampaşa,268303,18535,20952,88.46
Güngören,264831,9800,10914,89.79
Şişli,263063,19088,20689,92.26
Beykoz,245440,34333,51201,67.06
Silivri,232156,26630,50014,53.25
Bakırköy,219893,9961,11950,83.36
Beyoğlu,216688,24992,27335,91.43
Beşiktaş,167264,12467,16037,77.74
Çatalca,80399,11127,27293,40.77
Şile,48936,13340,20102,66.36
Adalar,16979,5325,6393,83.29
